Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
CUSTOM_CNN,0.8381,0.8017,0.9846,0.8838,0.9353
VGG16,0.8606,0.8244,0.9872,0.8985,0.9605
RESNET50,0.8686,0.8333,0.9872,0.9038,0.9725
